meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,red,1,8,,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,blue,1,12,,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,purple,1,13,,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,red,1,6,,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,blue,1,5,,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,purple,1,12,,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,red,1,17,,
17,100,control,butler,butler,home,3,8/17/19,initial,3,blue,1,19,,
17,100,control,butler,butler,home,3,8/17/19,initial,3,purple,1,9,,
17,100,control,butler,butler,home,3,8/17/19,initial,3,red,1,14,,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,blue,1,15,,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,purple,1,12,,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,red,1,15,,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,blue,1,5,,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,purple,1,18,,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,red,1,8,,
3,117,cage,butler,butler,home,3,8/17/19,initial,2,blue,1,6,,
3,117,cage,butler,butler,home,3,8/17/19,initial,2,purple,1,13,,
3,117,cage,butler,butler,home,3,8/17/19,initial,2,red,1,9,,
14,120,cage,pellicer,butler,away,3,8/17/19,initial,1,blue,1,10,,
